run_id,brake_profile,target_mph,encounter_distance_m,walker_speed_mps,walker_side,walker_cross,trigger_ttc_s,braking_ramp_up_per_s,brake_headway_s,weather_preset,hazard_triggered,collision_detected,outcome,min_ped_distance_m,min_ttc_s,max_jerk_mps3,mean_jerk_mps3,ego_speed_at_trigger_mph,ego_speed_at_trigger_mps,time_to_stop_s,physics_label,margin_m
run_0144,SAC_v3_1600k,22.0,120.0,1.8,left,far,3.0,4.0,2.5,ClearSunset,True,False,full_stop,12.283,1.881,408.16,7.94,21.98,9.825,1.06,avoidable,inf
run_0145,SAC_v3_1600k,22.0,120.0,1.8,left,far,3.0,4.0,5.0,ClearSunset,True,False,full_stop,12.88,1.898,408.16,7.84,21.98,9.825,0.96,avoidable,inf
run_0152,SAC_v3_1600k,22.0,120.0,1.8,left,far,3.5,4.0,2.5,ClearSunset,True,False,full_stop,15.459,2.566,408.16,7.89,21.96,9.819,1.54,avoidable,inf
run_0153,SAC_v3_1600k,22.0,120.0,1.8,left,far,3.5,4.0,5.0,ClearSunset,True,False,full_stop,18.639,2.567,408.16,8.18,21.96,9.819,1.04,avoidable,inf
run_0160,SAC_v3_1600k,28.0,60.0,1.8,left,near,1.8,4.0,2.5,ClearSunset,True,True,collision,2.659,0.389,408.16,12.78,27.69,12.378,,borderline-avoidable,0.15
run_0161,SAC_v3_1600k,28.0,60.0,1.8,left,near,1.8,4.0,5.0,ClearSunset,True,True,collision,2.652,0.388,408.16,12.76,27.69,12.378,,borderline-avoidable,0.15
run_0168,SAC_v3_1600k,28.0,60.0,1.8,left,near,2.2,4.0,2.5,ClearSunset,True,False,full_stop,6.487,1.137,408.16,16.46,27.66,12.364,1.32,borderline-avoidable,5.16
run_0169,SAC_v3_1600k,28.0,60.0,1.8,left,near,2.2,4.0,5.0,ClearSunset,True,False,full_stop,6.462,1.131,408.16,16.39,27.66,12.364,1.32,borderline-avoidable,5.16
run_0176,SAC_v3_1600k,28.0,60.0,1.8,left,near,2.6,4.0,2.5,ClearSunset,True,False,full_stop,8.521,1.411,408.16,17.24,27.65,12.359,1.32,avoidable,10.16
run_0177,SAC_v3_1600k,28.0,60.0,1.8,left,near,2.6,4.0,5.0,ClearSunset,True,False,full_stop,8.623,1.41,408.16,17.06,27.65,12.359,1.3,avoidable,10.16
